webshop_name|brand|pc
Lululemon_KN|Lululemon|17408
H&M|H&M|13514
Nike|Nike|12332
Under Armour|Under Armour|8820
Adidas|Adidas|6174
Lululemon|Lululemon|5673
Lululemon|Lulu Lemon|3707
Athleta|Athleta|3397
Asos|Asos|3064
Sports Authority|Nike|2617
Sears|Augusta|2459
Dillard's|Nike|2316
Nordstrom_SS|Nike|2167
JCPenney|Liz Claiborne|2129
Sports Authority|Under Armour|2105
Lord & Taylor|Under Armour|1982
Six:02|Nike|1788
Adidas|Originals|1719
Sears|Gildan|1719
Asos|Nike|1640
Sports Authority|The North Face|1554
Gap|Gap|1546
Sears|Sport-Tek|1538
JCPenney|Worthington|1430
Sears|Tri-Mountain|1389
Dillard's|Under Armour|1381
Sears|Cutter And Buck|1255
JCPenney|St. John'S Bay|1240
Farfetch|Adidas By Stella Mccartney|1227
Sears|Badger|1197
Lorna Jane|Lorna Jane|1191
Sears|Port Authority|1183
Nordstrom|Nike|1137
Adidas|Performance|1125
Lord & Taylor|Calvin Klein|1110
Sears|Holloway|1050
Asos|Adidas|1050
Urban Outfitters|Without Walls|976
Sports Authority|Columbia|968
Sports Authority|Adidas|962
Sears|A4|958
Target|C9 Champion®|946
Asos|Puma|937
JCPenney|Arizona|936
Lord & Taylor|Lauren Ralph Lauren|894
Lole|Lole|893
Sears|Port & Company|885
Sears|Ultraclub|874
Sears|Jerzees|869
Macy's|Nike|859
Sears|Champion|851
JCPenney|Nike|847
Sports Authority|Sports Authority|822
JCPenney|Xersion|816
Lord & Taylor|Jockey|796
JCPenney|A.N.A|789
Sears|Bella|763
Farfetch|Adidas|694
Macy's|Calvin Klein|652
Nordstrom|Zella|644
Sears|Extreme|635
Sears|Hanes|634
Sears|Chouinard|629
JCPenney|Jcp|625
JCPenney|Made For Life|623
Lord & Taylor|Callaway|608
Nordstrom_SS|Adidas|597
Casall|Casall|595
Sears|Next Level|590
Sears|District|589
JCPenney|Joe Fresh|587
Six:02|Under Armour|570
JCPenney|Alfred Dunner|550
Macy's|Style & Co|542
Adidas|Adidas Neo|536
Sweaty Betty|Sweaty Betty|520
Sports Authority|Champion|518
Old Navy|Old Navy|516
Nordstrom|Under Armour|513
Sears|Anvil|512
Urban Outfitters|Onzie|505
Kohls|Antigua|477
Dillard's|Calvin Klein|474
Nordstrom|The North Face|449
JCPenney|Stylus|446
Farfetch|Dolce & Gabbana|442
Sears|Adidas|432
Farfetch|Philipp Plein|432
Lucy|Lucy|431
Sears|Asics|429
Nordstrom|Cutter & Buck|418
Lord & Taylor|Marc New York|415
Farfetch|Rick Owens|408
Lord & Taylor|Danskin|402
Sears|Fruit Of The Loom|395
Dillard's|Gianni Bini|376
Farfetch|Y-3|374
Nordstrom|Adidas|362
Farfetch|Alexander Wang|361
Adidas|Adidas By Stella Mccartney|356
Sears|Ash City - Extreme|354
Sears|Toptie|353
Sears|Everlast&Reg;|351
Farfetch|Dsquared|349
Sears|High Five|348
Sears|District Made|345
Asos|Wildfox Couture|342
Sears|American|342
Macy's|Under Armour|340
Nordstrom|Patagonia|340
Sears|Alo|319
Sports Authority|Asics|318
Sears|Nike|317
Sears|North End|298
Saks Fifth Avenue|Vince|293
JCPenney|Champion|289
JCPenney|Adidas|288
Lord & Taylor|Polo Ralph Lauren|287
Adidas|Neo|279
Sears|Pearl Izumi|273
Shopbop|Adidas By Stella Mccartney|273
Sears|Canvas|270
Nordstrom|Hard Tail|267
Six:02|Adidas|263
Sears|Edwards|261
Urban Outfitters|Adidas|254
Sears|Authentic Pigment|249
Nordstrom|Peter Millar|245
Neiman Marcus|Vince|240
Shopbop|So Low|237
Nordstrom|Bobby Jones|236
Asos|Jack Wills|234
Nordstrom|Tommy Bahama|233
Asos|Religion|233
Sears|Comfort Colors|232
Sears|District Threads|227
Walmart|No Boundaries|227
Walmart|Danskin Now|222
JCPenney|Bisou Bisou|222
Sears|Dc Comics|221
Neiman Marcus|Eileen Fisher|221
Farfetch|Neil Barrett|220
Sears|Lat|218
Walmart|Russell|218
Sears|Bellylady|216
Sears|Aeropostale|215
JCPenney|Mng By Mango|213
Nordstrom_SS|The North Face|211
Farfetch|Lanvin|209
Asos|Majestic|207
Ralph Lauren|Blue Label|205
Nordstrom_SS|Under Armour|204
Asos|Ellesse|199
JCPenney|Decree|197
Nordstrom_SS|Zella|197
JCPenney|I Jeans By Buffalo|194
Six:02|Asics®|193
Sears|Whatonearth|192
JCPenney|City Streets|191
JCPenney|By And By|189
Adidas|Sport Performance|188
Shopbop|Freecity|184
Macy's|Style&Co.|183
Ralph Lauren|Polo Ralph Lauren|181
Nordstrom|Hurley|180
Lord & Taylor|Puma|179
Target|Mossimo Supply Co.|179
Macy's|Ralph Lauren|179
Macy's|Quiksilver|175
Nordstrom_SS|Adidas By Stella Mccartney|174
Asos|Jack And Jones|174
Myntra|Fila|173
Sears|New Balance|173
Sears|Harriton|171
Farfetch|Mcq By Alexander Mcqueen|171
Sears|Bayside|171
Sears|Alternative|167
Saks Fifth Avenue|Hugo Boss|167
Shopbop|Monrow|167
Urban Outfitters|Nike|165
Farfetch|Versace|165
Macy's|Ideology|165
Sears|Show No Love Tenniswear|164
Sports Authority|Helly Hansen|164
Net-A-Porter|Nike|163
